"","report_date","civic_buildings.ext_destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed"
"221",2024-05-14,187,104,311,604,200,3
"222",2024-05-15,187,105,312,604,200,3
"223",2024-05-16,188,105,312,604,200,3
"224",2024-05-17,188,106,313,604,200,3
"225",2024-05-18,189,107,313,604,200,3
"226",2024-05-19,189,107,313,604,200,3
"227",2024-05-20,189,107,313,604,200,3
"228",2024-05-21,189,107,313,604,200,3
"229",2024-05-22,189,107,313,604,200,3
"230",2024-05-23,189,108,313,604,200,3
"231",2024-05-24,189,108,313,604,200,3
"232",2024-05-25,189,108,313,604,200,3
"233",2024-05-26,189,108,313,604,200,3
"234",2024-05-27,189,108,313,604,200,3
"235",2024-05-28,190,109,316,604,200,3
"236",2024-05-29,190,109,316,604,200,3
"237",2024-05-30,190,109,316,604,200,3
"238",2024-05-31,190,109,316,604,200,3
"239",2024-06-01,190,109,316,604,200,3
"240",2024-06-02,192,109,318,604,200,3
"241",2024-06-03,192,109,318,604,200,3
"242",2024-06-04,192,109,318,604,200,3
"243",2024-06-05,192,109,318,604,200,3
"244",2024-06-06,192,109,318,604,200,3
"245",2024-06-07,192,110,319,604,200,3
"246",2024-06-08,192,110,319,604,200,3
"247",2024-06-09,192,110,319,604,200,3
"248",2024-06-10,192,110,319,604,200,3
"249",2024-06-11,192,110,319,604,200,3
"250",2024-06-12,194,110,321,604,200,3
"251",2024-06-13,194,110,321,604,200,3
"252",2024-06-14,194,110,321,604,200,3
"253",2024-06-15,194,110,321,604,200,3
"254",2024-06-16,194,110,321,604,200,3
"255",2024-06-17,194,110,321,608,209,3
"256",2024-06-18,194,110,321,608,209,3
"257",2024-06-19,194,110,321,608,209,3
"258",2024-06-20,194,110,321,608,209,3
"259",2024-06-21,194,110,321,608,209,3
"260",2024-06-22,194,110,321,608,209,3
"261",2024-06-23,194,110,321,608,209,3
"262",2024-06-24,194,110,321,608,209,3
"263",2024-06-25,194,110,321,608,209,3
"264",2024-06-26,194,110,321,608,209,3
"265",2024-06-27,195,112,323,608,209,3
"266",2024-06-28,195,112,323,608,209,3
"267",2024-06-29,195,112,323,608,209,3
"268",2024-06-30,195,112,323,608,209,3
"269",2024-07-01,195,112,323,608,209,3
"270",2024-07-02,195,112,323,608,209,3
"271",2024-07-03,195,113,323,608,209,3
"272",2024-07-04,195,113,323,608,209,3
"273",2024-07-05,195,113,323,608,209,3
"274",2024-07-06,195,113,323,608,209,3
"275",2024-07-07,196,114,326,609,211,3
"276",2024-07-08,196,114,326,609,211,3
"277",2024-07-09,196,114,326,609,211,3
"278",2024-07-10,196,114,326,609,211,3
"279",2024-07-11,197,115,328,609,211,3
"280",2024-07-12,197,115,328,609,211,3
"281",2024-07-13,197,115,328,609,211,3
"282",2024-07-14,197,115,328,609,211,3
"283",2024-07-15,197,115,328,609,211,3
"284",2024-07-16,197,115,328,609,211,3
"285",2024-07-17,197,115,330,610,211,3
"286",2024-07-18,197,115,330,610,211,3
"287",2024-07-19,197,115,330,610,211,3
"288",2024-07-20,197,115,330,610,211,3
"289",2024-07-21,197,115,330,610,211,3
"290",2024-07-22,198,116,331,610,211,3
"291",2024-07-23,198,116,331,610,211,3
"292",2024-07-24,198,116,331,610,211,3
"293",2024-07-25,198,116,331,610,211,3
"294",2024-07-26,198,116,331,610,211,3
"295",2024-07-27,198,117,332,610,211,3
"296",2024-07-28,198,117,332,610,211,3
"297",2024-07-29,198,117,332,610,211,3
"298",2024-07-30,198,117,332,610,211,3
"299",2024-07-31,198,117,332,610,211,3
"300",2024-08-01,198,117,332,610,211,3
"301",2024-08-02,198,117,332,610,211,3
"302",2024-08-03,198,117,332,610,211,3
"303",2024-08-04,198,117,332,610,211,3
"304",2024-08-05,198,117,332,610,211,3
"305",2024-08-06,198,120,332,610,211,3
"306",2024-08-07,198,120,332,610,211,3
"307",2024-08-08,198,120,332,610,211,3
"308",2024-08-09,198,120,332,610,211,3
"309",2024-08-10,198,120,332,610,211,3
"310",2024-08-11,198,120,332,610,211,3
"311",2024-08-12,198,121,333,610,214,3
"312",2024-08-13,198,121,333,610,214,3
"313",2024-08-14,198,121,333,610,214,3
"314",2024-08-15,198,121,333,610,214,3
"315",2024-08-16,198,121,333,610,214,3
"316",2024-08-17,198,121,333,610,214,3
"317",2024-08-18,198,121,333,610,214,3
"318",2024-08-19,198,121,333,610,214,3
"319",2024-08-20,198,121,333,610,214,3
"320",2024-08-21,198,121,333,610,214,3
"321",2024-08-22,198,121,333,610,214,3
"322",2024-08-23,198,121,333,610,214,3
"323",2024-08-24,198,121,333,610,214,3
"324",2024-08-25,198,121,333,610,214,3
"325",2024-08-26,199,122,334,610,214,3
"326",2024-08-27,199,122,334,610,214,3
"327",2024-08-28,199,122,334,610,214,3
"328",2024-08-29,199,122,334,610,214,3
"329",2024-08-30,199,122,334,610,214,3
"330",2024-08-31,200,122,334,610,214,3
"331",2024-09-01,200,122,334,610,214,3
"332",2024-09-02,200,122,334,610,214,3
"333",2024-09-03,200,122,334,610,214,3
"334",2024-09-04,200,122,334,610,214,3
"335",2024-09-05,200,122,334,610,214,3
"336",2024-09-06,200,122,334,610,214,3
"337",2024-09-07,200,122,334,610,214,3
"338",2024-09-08,200,122,334,610,214,3
"339",2024-09-09,200,122,334,610,214,3
"340",2024-09-10,200,123,335,611,214,3
"341",2024-09-11,200,123,335,611,214,3
"342",2024-09-12,200,123,335,611,214,3
"343",2024-09-13,200,123,335,611,214,3
"344",2024-09-14,200,123,335,611,214,3
"345",2024-09-15,200,125,336,611,214,3
"346",2024-09-16,200,125,336,611,214,3
"347",2024-09-17,200,125,336,611,214,3
"348",2024-09-18,200,125,336,611,214,3
"349",2024-09-19,200,125,336,611,214,3
"350",2024-09-20,200,125,336,611,214,3
"351",2024-09-21,200,125,336,611,214,3
"352",2024-09-22,200,125,336,611,214,3
"353",2024-09-23,200,125,336,611,214,3
"354",2024-09-24,200,125,336,611,214,3
"355",2024-09-25,200,125,336,611,214,3
"356",2024-09-26,201,125,337,611,214,3
"357",2024-09-27,201,125,337,611,214,3
"358",2024-09-28,201,125,337,611,214,3
"359",2024-09-29,201,125,337,611,214,3
"360",2024-09-30,201,125,337,611,214,3
"361",2024-10-01,201,125,337,814,NA,3
"362",2024-10-02,201,125,337,814,NA,3
"363",2024-10-03,201,125,337,814,NA,3
"364",2024-10-04,201,125,337,814,NA,3
"365",2024-10-05,201,125,337,814,NA,3
"366",2024-10-06,204,125,337,814,NA,3
"367",2024-10-07,204,125,337,814,NA,3
"368",2024-10-08,204,125,337,814,NA,3
"369",2024-10-09,204,125,337,814,NA,3
"370",2024-10-10,204,125,337,814,NA,3
"371",2024-10-11,204,125,337,814,NA,3
"372",2024-10-12,204,125,337,814,NA,3
"373",2024-10-13,204,125,337,814,NA,3
"374",2024-10-14,204,125,337,814,NA,3
"375",2024-10-15,204,125,337,814,NA,3
"376",2024-10-16,204,125,337,814,NA,3
"377",2024-10-17,204,125,337,814,NA,3
"378",2024-10-18,204,125,337,814,NA,3
"379",2024-10-19,204,125,337,814,NA,3
"380",2024-10-20,204,125,337,814,NA,3
"381",2024-10-21,204,125,337,814,NA,3
"382",2024-10-22,204,125,337,814,NA,3
"383",2024-10-23,204,125,337,814,NA,3
"384",2024-10-24,204,125,337,814,NA,3
"385",2024-10-25,205,126,339,814,NA,3
"386",2024-10-26,205,128,342,814,NA,3
"387",2024-10-27,205,128,342,814,NA,3
"388",2024-10-28,205,128,342,814,NA,3
"389",2024-10-29,205,128,342,814,NA,3
"390",2024-10-30,205,128,342,814,NA,3
"391",2024-10-31,205,128,342,814,NA,3
"392",2024-11-01,205,128,342,814,NA,3
"393",2024-11-02,205,128,342,814,NA,3
"394",2024-11-03,205,128,342,814,NA,3
"395",2024-11-04,205,128,342,814,NA,3
"396",2024-11-05,205,128,342,814,NA,3
"397",2024-11-06,205,128,342,814,NA,3
"398",2024-11-07,205,128,342,814,NA,3
"399",2024-11-08,205,128,342,814,NA,3
"400",2024-11-09,206,129,344,815,NA,3
"401",2024-11-10,206,129,344,815,NA,3
"402",2024-11-11,206,129,344,815,NA,3
"403",2024-11-12,206,129,344,815,NA,3
"404",2024-11-13,206,129,344,815,NA,3
"405",2024-11-14,206,129,344,815,NA,3
"406",2024-11-15,206,129,344,815,NA,3
"407",2024-11-16,206,129,344,815,NA,3
"408",2024-11-17,206,129,344,815,NA,3
"409",2024-11-18,206,129,344,815,NA,3
"410",2024-11-19,208,131,346,815,NA,3
"411",2024-11-20,208,131,346,815,NA,3
"412",2024-11-21,208,131,346,815,NA,3
"413",2024-11-22,208,131,346,815,NA,3
"414",2024-11-23,208,131,346,815,NA,3
"415",2024-11-24,208,131,346,815,NA,3
"416",2024-11-25,208,131,346,815,NA,3
"417",2024-11-26,208,131,346,815,NA,3
"418",2024-11-27,208,131,346,815,NA,3
"419",2024-11-28,208,131,346,815,NA,3
"420",2024-11-29,211,132,348,819,NA,3
"421",2024-11-30,211,132,348,819,NA,3
"422",2024-12-01,211,132,348,819,NA,3
"423",2024-12-02,211,132,348,819,NA,3
"424",2024-12-03,211,132,348,819,NA,3
"425",2024-12-04,211,132,348,819,NA,3
"426",2024-12-05,211,132,348,819,NA,3
"427",2024-12-06,211,132,348,819,NA,3
"428",2024-12-07,211,132,348,819,NA,3
"429",2024-12-08,211,132,348,819,NA,3
"430",2024-12-09,211,132,348,819,NA,3
"431",2024-12-10,211,132,351,821,NA,3
"432",2024-12-11,211,132,351,821,NA,3
"433",2024-12-12,211,132,351,821,NA,3
"434",2024-12-13,211,132,351,821,NA,3
"435",2024-12-14,211,132,351,821,NA,3
"436",2024-12-15,211,132,351,821,NA,3
"437",2024-12-16,211,132,351,821,NA,3
"438",2024-12-17,211,132,351,821,NA,3
"439",2024-12-18,211,132,351,821,NA,3
"440",2024-12-19,213,133,351,821,NA,3
"441",2024-12-20,213,133,351,821,NA,3
"442",2024-12-21,213,133,351,821,NA,3
"443",2024-12-22,213,133,351,821,NA,3
"444",2024-12-23,213,133,351,821,NA,3
"445",2024-12-24,213,133,351,821,NA,3
"446",2024-12-25,213,133,351,821,NA,3
"447",2024-12-26,213,133,351,821,NA,3
"448",2024-12-27,213,133,351,821,NA,3
"449",2024-12-28,213,133,351,821,NA,3
"450",2024-12-29,213,135,353,823,NA,3
"451",2024-12-30,213,135,353,823,NA,3
